City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kruisfontein,-34.0033,24.7314,26.05,56,44,5.6,ZA,1705144880
1,prince rupert,54.3161,-130.3201,-9.95,73,40,2.57,CA,1705144881
2,invercargill,-46.4,168.35,14.45,94,99,4.92,NZ,1705144883
3,blackmans bay,-43.0167,147.3167,13.74,56,1,1.34,AU,1705144885
4,puerto ayora,-0.7393,-90.3518,24.75,95,3,2.68,EC,1705144886
5,kargasok,59.0556,80.8572,-11.13,93,100,4.02,RU,1705144886
6,lingig,8.0389,126.4125,26.03,86,100,2.99,PH,1705144887
7,kodiak,57.79,-152.4072,3.73,100,100,8.75,US,1705144888
8,mount isa,-20.7333,139.5,30.87,58,75,2.06,AU,1705144889
9,mejit,10.2753,170.8646,26.89,72,69,9.44,MH,1705144889
10,margaret river,-33.95,115.0667,23.76,67,69,4.76,AU,1705144891
11,georgetown,5.4112,100.3354,30.03,68,20,2.06,MY,1705144825
12,prince george,53.9166,-122.753,-32.22,79,0,2.24,CA,1705144893
13,albany,42.6001,-73.9662,5.4,86,100,3.58,US,1705144893
14,devarkonda,16.7,78.9333,30.76,36,1,2.5,IN,1705144895
15,west island,-12.1568,96.8225,29.99,74,75,4.12,CC,1705144896
16,hailar,49.2,119.7,-22.32,96,56,4.27,CN,1705144897
17,adamstown,-25.066,-130.1015,23.54,80,89,7.65,PN,1705144897
18,salgueiro,-8.0742,-39.1192,26.71,66,13,4.98,BR,1705144898
